"Gemeinde_Nr","Gemeinde_Name","Tierversuche_Ja_Anteil","Tierversuche_Nein_Anteil","Tierversuche_Text","Tabakwerbung_Ja_Anteil","Tabakwerbung_Nein_Anteil","Tabakwerbung_Text","Stempelabgaben_Ja_Anteil","Stempelabgaben_Nein_Anteil","Stempelabgaben_Text","Medien_Ja_Anteil","Medien_Nein_Anteil","Medien_Text"
5931,"Treycovagnes VD",18.7,81.3,"81,3 Prozent der Stimmbürgerinnen und Stimmbürger von Treycovagnes sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Treycovagnes die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 60 Prozent.",62.5,37.5,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Treycovagnes: Mit 62,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Damit hat in Treycovagnes seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 79,5 Prozent ein Verbot der Tabakwerbung abgelehnt.",33.6,66.4,"66,4 der Stimmbürgerinnen und Stimmbürger von Treycovagnes haben das Bundesgesetz über die Stempelabgaben abgelehnt.",56.5,43.5,"Ja zum Massnahmenpaket zugunsten der Medien in Treycovagnes: Mit 56,5 Prozent haben die Stimmbürgerinnen und Stimmbürger die Vorlage angenommen."
5932,"Ursins VD",10,90,"Mit 63 Nein- zu 7 Ja-Stimmen hat die Gemeinde Ursins die Volksinitiative ""Tier- und Menschenversuchsverbot"" verworfen. Damit ist in Ursins die Ablehnung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" ungefähr gleich geblieten.",50.7,49.3,"Die Stimmbevölkerung von Ursins hat sich mit 37 Ja- zu 36 für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" ausgesprochen. Damit hat in Ursins seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 93,1 Prozent ein Verbot der Tabakwerbung abgelehnt.",45.1,54.9,"Ursins hat das Bundesgesetz über die Stempelabgaben mit 39 Nein- zu 32 Ja-Stimmen verworfen.",47.9,52.1,"Mit 38 Nein- zu 35 Ja-Stimmen hat die Gemeinde Ursins das Massnahmenpaket zugunsten der Medien verworfen."
5933,"Valeyres-sous-Montagny VD",20.1,79.9,"Valeyres-sous-Montagny hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 79,9 Prozent abgelehnt. Damit hat in Valeyres-sous-Montagny die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 60,5 Prozent.",60.5,39.5,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Valeyres-sous-Montagny. Die Gemeinde hat das Volksbegehren mit 60,5 Prozent der Stimmen angenommen. Damit hat in Valeyres-sous-Montagny seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 82,8 Prozent ein Verbot der Tabakwerbung abgelehnt.",36,64,"Valeyres-sous-Montagny hat das Bundesgesetz über die Stempelabgaben mit 64 Prozent Nein-Stimmen verworfen.",53.5,46.5,"Ja zum Massnahmenpaket zugunsten der Medien in Valeyres-sous-Montagny. Die Gemeinde hat die Vorlage mit 53,5 Prozent der Stimmen angenommen."
5934,"Valeyres-sous-Ursins VD",16.8,83.2,"In Valeyres-sous-Ursins hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 83,2 Prozent verworfen. Damit sind in Valeyres-sous-Ursins im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 86,8 Prozent.",61.2,38.8,"In Valeyres-sous-Ursins hat die Stimmbevölkerung der Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 61,2 Prozent angenommen. Damit hat in Valeyres-sous-Ursins seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 87,2 Prozent ein Verbot der Tabakwerbung abgelehnt.",39.8,60.2,"Mit 59 Nein zu 39 Ja haben die Stimmbürgerinnen und Stimmbürger von Valeyres-sous-Ursins das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 60,2 Prozent.",48.5,51.5,"In Valeyres-sous-Ursins hat die Stimmbevölkerung das Massnahmenpaket zugunsten der Medien abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 51,5 Prozent verworfen."
5935,"Villars-Epeney VD",16.1,83.9,"Mit 26 Nein- zu 5 Ja-Stimmen hat die Gemeinde Villars-Epeney die Volksinitiative ""Tier- und Menschenversuchsverbot"" verworfen. Damit sind in Villars-Epeney im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 90,9 Prozent.",66.7,33.3,"Die Stimmbevölkerung von Villars-Epeney hat sich mit 22 Ja- zu 11 für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" ausgesprochen. Damit hat in Villars-Epeney seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 63,6 Prozent ein Verbot der Tabakwerbung abgelehnt.",45.5,54.5,"Villars-Epeney hat das Bundesgesetz über die Stempelabgaben mit 18 Nein- zu 15 Ja-Stimmen verworfen.",54.5,45.5,"Die Stimmbevölkerung von Villars-Epeney hat sich mit 18 Ja- zu 15 für das Massnahmenpaket zugunsten der Medien ausgesprochen."
5937,"Vugelles-La Mothe VD",22.7,77.3,"Nein zum Tier- und Menschenversuchsverbot in Vugelles-La Mothe. Mit 34 Nein- zu 10 Ja-Stimmen haben die Stimmberechtigten die Volksinitiative verworfen. Damit hat in Vugelles-La Mothe die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 73,3 Prozent.",54.3,45.7,"Mit 25 Ja- zu 21 Nein-Stimmen hat Vugelles-La Mothe das Volksbegehren ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Vugelles-La Mothe seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 91,3 Prozent ein Verbot der Tabakwerbung abgelehnt.",45.5,54.5,"Vugelles-La Mothe hat das Bundesgesetz über die Stempelabgaben mit 24 Nein- zu 20 Ja-Stimmen abgelehnt.",58.1,41.9,"Mit 25 Ja- zu 18 Nein-Stimmen hat Vugelles-La Mothe das Massnahmenpaket zugunsten der Medien angenommen."
5938,"Yverdon-les-Bains VD",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
5939,"Yvonand VD",18.2,81.8,"Nein zum Tier- und Menschenversuchsverbot in Yvonand: Mit 807 Nein- zu 180 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 81,8 Prozent. Damit hat in Yvonand die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 74,8 Prozent.",64.3,35.7,"64,3 Prozent der Stimmbürgerinnen und Stimmbürger von Yvonand haben die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" angenommen. Damit hat in Yvonand seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 85 Prozent ein Verbot der Tabakwerbung abgelehnt.",34,66,"In Yvonand hat das Bundesgesetz über die Stempelabgaben keine Mehrheit gefunden: 66 Prozent haben die Vorlage abgelehnt.",52.7,47.3,"52,7 Prozent der Stimmbürgerinnen und Stimmbürger von Yvonand haben das Massnahmenpaket zugunsten der Medien angenommen."
6002,"Brig-Glis VS",15.8,84.2,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Brig-Glis: Mit 3'160 Nein-Stimmen zu 591 Ja-Stimmen oder 84,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit hat in Brig-Glis die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 59,7 Prozent.",48.5,51.5,"Keine Mehrheit für die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Brig-Glis: Mit 1'943 Nein-Stimmen zu 1'831 Ja-Stimmen oder 51,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Brig-Glis im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 80 Prozent.",37.9,62.1,"In Brig-Glis ist das Bundesgesetz über die Stempelabgaben mit 62,1 Prozent gescheitert.",34.9,65.1,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Brig-Glis: Mit 2'424 Nein-Stimmen zu 1'298 Ja-Stimmen oder 65,1 Prozent hat die Gemeinde die Vorlage verworfen."
6004,"Eggerberg VS",15.5,84.5,"84,5 Prozent der Stimmbürgerinnen und Stimmbürger von Eggerberg sagen Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"". Damit hat in Eggerberg die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 64,4 Prozent.",48.5,51.5,"51,5 Prozent der Stimmbürgerinnen und Stimmbürger von Eggerberg sagen Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit sind in Eggerberg im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 86,1 Prozent.",42.6,57.4,"57,4 der Stimmbürgerinnen und Stimmbürger von Eggerberg haben das Bundesgesetz über die Stempelabgaben abgelehnt.",29.1,70.9,"70,9 Prozent der Stimmbürgerinnen und Stimmbürger von Eggerberg sagen Nein zum Massnahmenpaket zugunsten der Medien."
6007,"Naters VS",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
6008,"Ried-Brig VS",15,85,"Ried-Brig hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 85 Prozent abgelehnt. Damit hat in Ried-Brig die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 63,3 Prozent.",49.2,50.8,"Ried-Brig hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 50,8 Prozent abgelehnt. Damit sind in Ried-Brig im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 74,2 Prozent.",35.9,64.1,"Ried-Brig hat das Bundesgesetz über die Stempelabgaben mit 64,1 Prozent Nein-Stimmen verworfen.",31.4,68.6,"Ried-Brig hat das Massnahmenpaket zugunsten der Medien mit 68,6 Prozent abgelehnt."
6009,"Simplon VS",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
6010,"Termen VS",14.5,85.5,"In Termen hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 85,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit hat in Termen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 64,3 Prozent.",47.4,52.6,"In Termen hat die Initiative  ""Kinder und Jugendliche ohne Tabakwerbung"" keine Mehrheit gefunden. Auf 52,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit sind in Termen im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 82,6 Prozent.",45.9,54.1,"Termen ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 54,1 Prozent Nein verworfen.",35.2,64.8,"In Termen hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 64,8 Prozent der abgegebenen Stimmzettel stand ein Nein."
6011,"Zwischbergen VS",3.2,96.8,"Nein zum Tier- und Menschenversuchsverbot in Zwischbergen. Mit 30 Nein- zu 1 Ja-Stimmen haben die Stimmberechtigten die Volksinitiative verworfen. Damit hat in Zwischbergen die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 68,4 Prozent.",9.7,90.3,"Nein zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Zwischbergen. Mit 28 Nein- zu 3 Ja-Stimmen haben die Stimmberechtigten die Volksinitiative verworfen. Damit hat in Zwischbergen die Ablehnung eines Verbots von Tabakwerbung im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 79,7 Prozent.",51.6,48.4,"Ja zum Bundesgesetz über die Stempelabgaben in Zwischbergen. Mit 16 Ja- zu 15 Nein-Stimmen ist Vorlage angenommen worden.",32.3,67.7,"Nein zum Massnahmenpaket zugunsten der Medien in Zwischbergen. Mit 21 Nein- zu 10 Ja-Stimmen haben die Stimmberechtigten die Vorlage verworfen."
6021,"Ardon VS",24.5,75.5,"In Ardon hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 75,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit sind in Ardon im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 87,3 Prozent.",57.6,42.4,"Die Gemeinde Ardon hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 57,6 Prozent Ja-Stimmen angenommen. Damit hat in Ardon seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 91,3 Prozent ein Verbot der Tabakwerbung abgelehnt.",42.1,57.9,"Ardon ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 57,9 Prozent Nein verworfen.",47.6,52.4,"In Ardon hat das Massnahmenpaket zugunsten der Medien keine Mehrheit gefunden. Auf 52,4 Prozent der abgegebenen Stimmzettel stand ein Nein."
6022,"Chamoson VS",19.7,80.3,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Chamoson: Mit 966 Nein-Stimmen zu 237 Ja-Stimmen oder 80,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit ist in Chamoson die Ablehnung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" ungefähr gleich geblieten.",54.2,45.8,"54,2 Prozent der Abstimmenden in der Gemeinde Chamoson haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Chamoson seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 93 Prozent ein Verbot der Tabakwerbung abgelehnt.",33.7,66.3,"In Chamoson ist das Bundesgesetz über die Stempelabgaben mit 66,3 Prozent gescheitert.",44.5,55.5,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Chamoson: Mit 662 Nein-Stimmen zu 531 Ja-Stimmen oder 55,5 Prozent hat die Gemeinde die Vorlage verworfen."
6023,"Conthey VS",21,79,"Conthey hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 79 Prozent abgelehnt. Damit sind in Conthey im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 80,7 Prozent.",57.2,42.8,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Conthey. Die Gemeinde hat das Volksbegehren mit 57,2 Prozent der Stimmen angenommen. Damit hat in Conthey seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 92,1 Prozent ein Verbot der Tabakwerbung abgelehnt.",40.7,59.3,"Conthey hat das Bundesgesetz über die Stempelabgaben mit 59,3 Prozent Nein-Stimmen verworfen.",46.2,53.8,"Conthey hat das Massnahmenpaket zugunsten der Medien mit 53,8 Prozent abgelehnt."
6024,"Nendaz VS",17.2,82.8,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Nendaz. Die Gemeinde hat das Volksbegehren mit 82,8 Prozent abgelehnt. Damit hat in Nendaz die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 81,4 Prozent.",60.3,39.7,"Die Gemeinde Nendaz hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 60,3 Prozent angenommen. Damit hat in Nendaz seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 85,9 Prozent ein Verbot der Tabakwerbung abgelehnt.",40.6,59.4,"59,4 Prozent der Stimmbürgerinnen und Stimmbürger von Nendaz haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",50.1,49.9,"Die Gemeinde Nendaz hat das Massnahmenpaket zugunsten der Medien mit 50,1 Prozent angenommen."
6025,"Vétroz VS",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt.",0,0,"Die Resultate dieser Gemeinde sind noch nicht bekannt."
6032,"Bourg-Saint-Pierre VS",7.8,92.2,"In Bourg-Saint-Pierre hat die Stimmbevölkerung das Tier- und Menschenversuchsverbot abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 92,2 Prozent verworfen. Damit hat in Bourg-Saint-Pierre die Ablehnung eines Verbots im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" noch einmal zugenommen. Damals betrug der Nein-Stimmen-Anteil 82,6 Prozent.",31.4,68.6,"In Bourg-Saint-Pierre hat die Stimmbevölkerung die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 68,6 Prozent verworfen. Damit sind in Bourg-Saint-Pierre im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 87,4 Prozent.",42.7,57.3,"Mit 59 Nein zu 44 Ja haben die Stimmbürgerinnen und Stimmbürger von Bourg-Saint-Pierre das Bundesgesetz über die Stempelabgaben abgelehnt. Das sind 57,3 Prozent.",44.2,55.8,"In Bourg-Saint-Pierre hat die Stimmbevölkerung das Massnahmenpaket zugunsten der Medien abgelehnt. Die Vorlage wurde mit einem Nein-Stimmen-Anteil von 55,8 Prozent verworfen."
6033,"Liddes VS",14.1,85.9,"In Liddes hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" keine Mehrheit gefunden. Auf 85,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Damit sind in Liddes im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 89,4 Prozent.",56.7,43.3,"Die Gemeinde Liddes hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 56,7 Prozent Ja-Stimmen angenommen. Damit hat in Liddes seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 88,2 Prozent ein Verbot der Tabakwerbung abgelehnt.",41.2,58.8,"Liddes ist gegen das Bundesgesetz über die Stempelabgaben: Die Gemeinde hat die Vorlage mit 58,8 Prozent Nein verworfen.",51.4,48.6,"Die Gemeinde Liddes hat das Massnahmenpaket zugunsten der Medien mit 51,4 Prozent Ja-Stimmen angenommen."
6034,"Orsières VS",13.5,86.5,"Keine Mehrheit für die Volksinitiative ""Tier- und Menschenversuchsverbot"" in Orsières: Mit 891 Nein-Stimmen zu 139 Ja-Stimmen oder 86,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Damit sind in Orsières im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 88 Prozent.",54,46,"54 Prozent der Abstimmenden in der Gemeinde Orsières haben Ja gesagt zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"". Damit hat in Orsières seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 92,2 Prozent ein Verbot der Tabakwerbung abgelehnt.",43,57,"In Orsières ist das Bundesgesetz über die Stempelabgaben mit 57 Prozent gescheitert.",45.2,54.8,"Keine Mehrheit für das Massnahmenpaket zugunsten der Medien in Orsières: Mit 559 Nein-Stimmen zu 462 Ja-Stimmen oder 54,8 Prozent hat die Gemeinde die Vorlage verworfen."
6035,"Sembrancher VS",15.9,84.1,"Nein zur Volksinitiative ""Tier- und Menschenversuchsverbot"" in Sembrancher. Die Gemeinde hat das Volksbegehren mit 84,1 Prozent abgelehnt. Damit sind in Sembrancher im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" weniger Stimmberechtigte gegen ein Verbot. Damals betrug der Nein-Stimmen-Anteil 87 Prozent.",61.3,38.7,"Die Gemeinde Sembrancher hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 61,3 Prozent angenommen. Damit hat in Sembrancher seit der Abstimmung vom 13. Juni ein Meinungsumschwung stattgefunden: Damals hatte noch eine Mehrheit von 91,8 Prozent ein Verbot der Tabakwerbung abgelehnt.",34.1,65.9,"65,9 Prozent der Stimmbürgerinnen und Stimmbürger von Sembrancher haben sich gegen das Bundesgesetz über die Stempelabgaben ausgesprochen.",39.9,60.1,"Nein zum Massnahmenpaket zugunsten der Medien in Sembrancher. Die Gemeinde hat die Vorlage mit 60,1 Prozent abgelehnt."
6037,"Val de Bagnes VS",14.5,85.5,"Val de Bagnes hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 85,5 Prozent abgelehnt. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" in Val de Bagnes nicht möglich.",59.1,40.9,"Ja zur Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" in Val de Bagnes. Die Gemeinde hat das Volksbegehren mit 59,1 Prozent der Stimmen angenommen. Wegen der Veränderung der Gemeindestruktur ist ein Vergleich mit der Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" in Val de Bagnes nicht möglich.",49.3,50.7,"Val de Bagnes hat das Bundesgesetz über die Stempelabgaben mit 50,7 Prozent Nein-Stimmen verworfen.",55.5,44.5,"Ja zum Massnahmenpaket zugunsten der Medien in Val de Bagnes. Die Gemeinde hat die Vorlage mit 55,5 Prozent der Stimmen angenommen."
6052,"Bellwald VS",19.8,80.2,"Bellwald hat die Volksinitiative ""Tier- und Menschenversuchsverbot"" mit 80,2 Prozent abgelehnt. Damit hat Bellwald seine Einstellung im Vergleich zur letzten Abstimmung vom 16. Februar 1992 über die Initiative ""zur drastischen und schrittweisen Einschränkung der Tierversuche (Weg vom Tierversuch)"" geändert: Damals hatte noch eine Mehrheit von 51,5 Prozent ein Ja in die Urne gelegt.",41.8,58.2,"Bellwald hat die Initiative ""Kinder und Jugendliche ohne Tabakwerbung"" mit 58,2 Prozent abgelehnt. Damit sind in Bellwald im Vergleich zur letzten Abstimmung vom 28. November 1993 über die Initiative ""zur Verminderung der Tabakprobleme"" weniger Stimmberechtigte gegen ein Verbot von Tabakwerbung. Damals betrug der Nein-Stimmen-Anteil 83,7 Prozent.",28.2,71.8,"Bellwald hat das Bundesgesetz über die Stempelabgaben mit 71,8 Prozent Nein-Stimmen verworfen.",30.6,69.4,"Bellwald hat das Massnahmenpaket zugunsten der Medien mit 69,4 Prozent abgelehnt."
